Order,Type,ID,Block,AccInc,AccTemp,Stage,Mass,PerfRound,PrevTemp,PerfTemp,PerfInc,TimeStart,O2Start,AvgO2Start,TempStart,TimeStop,O2Stop,TempStop,Time,O2,O2/Time,O2/Time/Mass,corO2/Time/Mass
313,tad,T49,1,7,13,26,0.663,3,19,13,,5:43,,10.55333333,,6:33,10.48,11.6,50,0.073333333,0.001466667,0.002212167,0.001260935
314,control,C4,1,NA,NA,NA,NA,3,19,13,,5:38,10.51,10.55333333,11.6,6:29,10.53,11.8,51,0.023333333,0.000457516,,
315,control,C9,1,NA,NA,NA,NA,3,19,13,,5:42,10.57,10.55333333,11.5,6:31,10.56,11.7,49,-0.006666667,-0.000136054,,
316,control,C49,1,NA,NA,NA,NA,3,19,13,,5:44,10.58,10.55333333,11.5,6:34,10.53,11.6,50,0.023333333,0.000466667,,
317,tad,T6,1,1,22,28,1.205,3,22,16,P31,7:12,,9.23,,7:55,9.02,15.9,43,0.21,0.004883721,0.00405288,0.002310142
318,tad,T15,1,2,28,26,0.489,3,22,16,P31,7:15,,9.23,,7:58,9.18,15.8,43,0.05,0.001162791,0.002377895,0.0013554
319,tad,T50,1,7,13,26,0.456,3,22,16,P31,7:17,,9.23,,8:00,9.19,15.5,43,0.04,0.000930233,0.002039984,0.001162791
320,control,C6,1,NA,NA,NA,NA,3,22,16,P31,7:13,9.22,9.23,16.3,7:57,9.19,15.7,44,0.04,0.000909091,,
321,control,C15,1,NA,NA,NA,NA,3,22,16,P31,7:16,9.23,9.23,16.2,7:59,9.22,15.7,43,0.01,0.000232558,,
322,control,C50,1,NA,NA,NA,NA,3,22,16,P31,7:18,9.24,9.23,16.1,8:01,9.23,15.5,43,0,0,,
323,tad,T3,1,1,22,26,0.871,3,25,19,,5:46,,9.1,,6:35,8.99,17.7,49,0.11,0.002244898,0.00257738,0.001469107
324,tad,T14,1,2,28,26,0.611,3,25,19,,5:49,,9.1,,6:38,9,17.7,49,0.1,0.002040816,0.003340125,0.001903871
325,tad,T53,1,7,13,27,0.937,3,25,19,,5:52,,9.1,,6:40,9,17.5,48,0.1,0.002083333,0.002223408,0.001267343
326,control,C3,1,NA,NA,NA,NA,3,25,19,,5:47,9.14,9.1,17.9,6:37,9.06,17.6,50,0.04,0.0008,,
327,control,C14,1,NA,NA,NA,NA,3,25,19,,5:50,9.09,9.1,17.8,6:39,9.06,17.7,49,0.04,0.000816327,,
328,control,C53,1,NA,NA,NA,NA,3,25,19,,5:53,9.07,9.1,17.6,6:41,9.05,17.5,48,0.05,0.001041667,,
329,tad,T1,1,1,22,28,0.838,3,28,22,P3,6:54,,8.453333333,,7:41,8.35,21.1,47,0.103333333,0.002198582,0.002623606,0.001495455
330,tad,T16,1,2,28,27,0.576,3,28,22,P3,6:56,,8.453333333,,7:44,8.36,21.6,48,0.093333333,0.001944444,0.003375772,0.00192419
331,tad,T51,,,,,,,,,,,,,,,,,0,0,,,
332,control,C1,1,NA,NA,NA,NA,3,28,22,P3,6:55,8.44,8.453333333,21.4,7:43,8.43,21.1,48,0.023333333,0.000486111,,
333,control,C16,1,NA,NA,NA,NA,3,28,22,P3,6:57,8.46,8.453333333,21.5,7:45,8.42,21.6,48,0.033333333,0.000694444,,
334,control,C51,1,NA,NA,NA,NA,3,28,22,P3,6:59,8.46,8.453333333,21.4,7:47,8.41,21.3,48,0.043333333,0.000902778,,
